UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1645250028,2022-02-19T05:53:48Z,51.34923,3.27762,5.943,0,0,0,No Data,No Data
1645250031,2022-02-19T05:53:51Z,51.34893,3.27784,9.421,0.0367353,0,0,No Data,No Data
1645250033,2022-02-19T05:53:53Z,51.34904,3.27823,9.235,0.0664904,0,0,No Data,No Data
1645250046,2022-02-19T05:54:06Z,51.34966,3.28014,10.478,0.2161644,0,0,No Data,No Data
1645250064,2022-02-19T05:54:24Z,51.35053,3.28269,15.146,0.4182007,0,0,No Data,No Data
1645250065,2022-02-19T05:54:25Z,51.35065,3.28302,15.9,0.4447518,0,0,No Data,No Data
1645250066,2022-02-19T05:54:26Z,51.35078,3.28321,16.361,0.4643473,0,0,No Data,No Data
1645250067,2022-02-19T05:54:27Z,51.35091,3.28331,16.183,0.4804034,0,0,No Data,No Data
1645250075,2022-02-19T05:54:35Z,51.35173,3.28377,11.336,0.5771341,0,0,No Data,No Data
1645250076,2022-02-19T05:54:36Z,51.35194,3.28395,9.68,0.6036524,0,0,No Data,No Data
1645250080,2022-02-19T05:54:40Z,51.35213,3.28447,9.734,0.6455407,0,0,No Data,No Data
1645250080,2022-02-19T05:54:40Z,51.35213,3.28447,9.734,0.6455407,0,0,No Data,No Data
1645250093,2022-02-19T05:54:53Z,51.35282,3.28644,10.576,0.8025815,0,0,No Data,No Data
1645250093,2022-02-19T05:54:53Z,51.35284,3.28648,10.432,0.806143,0,0,No Data,No Data
1645250102,2022-02-19T05:55:02Z,51.35321,3.28807,15.126,0.9241165,0,0,No Data,No Data
1645250103,2022-02-19T05:55:03Z,51.35327,3.28833,16.137,0.943388,0,0,No Data,No Data
1645250103,2022-02-19T05:55:03Z,51.35327,3.28833,16.137,0.943388,0,0,No Data,No Data
1645250117,2022-02-19T05:55:17Z,51.35374,3.29052,13.01,1.104391,0,0,No Data,No Data
1645250123,2022-02-19T05:55:23Z,51.35394,3.29144,13.112,1.17212,0,0,No Data,No Data
1645250130,2022-02-19T05:55:30Z,51.35415,3.29251,14.028,1.2501,0,0,No Data,No Data
1645250130,2022-02-19T05:55:30Z,51.35415,3.29251,14.028,1.2501,0,0,No Data,No Data
1645250137,2022-02-19T05:55:37Z,51.35439,3.29362,11.192,1.331768,0,0,No Data,No Data
1645250144,2022-02-19T05:55:44Z,51.3546,3.29465,11.698,1.407099,0,0,No Data,No Data
1645250152,2022-02-19T05:55:52Z,51.35486,3.2959,12.349,1.498699,0,0,No Data,No Data
1645250152,2022-02-19T05:55:52Z,51.35473,3.29596,13.478,1.513761,0,0,No Data,No Data
1645250152,2022-02-19T05:55:52Z,51.35473,3.29596,13.478,1.513761,0,0,No Data,No Data
1645250152,2022-02-19T05:55:52Z,51.35473,3.29596,13.478,1.513761,0,0,No Data,No Data
1645250153,2022-02-19T05:55:53Z,51.35463,3.29601,14.273,1.525424,0,0,No Data,No Data
1645250160,2022-02-19T05:56:00Z,51.3539,3.29562,16.226,1.611098,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35379,3.29543,15.475,1.629111,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35381,3.29538,15.549,1.63324,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35379,3.2953,15.389,1.639232,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35377,3.29525,15.253,1.64336,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35372,3.29521,14.973,1.649583,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.3537,3.29521,14.871,1.651808,0,0,No Data,No Data
1645250161,2022-02-19T05:56:01Z,51.35366,3.29523,14.676,1.656473,0,0,No Data,No Data
1645250162,2022-02-19T05:56:02Z,51.35349,3.29493,13.789,1.684638,0,0,No Data,No Data
1645250162,2022-02-19T05:56:02Z,51.35349,3.29493,13.789,1.684638,0,0,No Data,No Data
1645250162,2022-02-19T05:56:02Z,51.35349,3.29493,13.789,1.684638,0,0,No Data,No Data
1645250166,2022-02-19T05:56:06Z,51.35319,3.2944,13.796,1.734371,0,0,No Data,No Data
1645250175,2022-02-19T05:56:15Z,51.35259,3.29339,14.993,1.831289,0,0,No Data,No Data
1645250176,2022-02-19T05:56:16Z,51.35246,3.29317,15.052,1.852347,0,0,No Data,No Data
1645250176,2022-02-19T05:56:16Z,51.35246,3.29317,15.052,1.852347,0,0,No Data,No Data
1645250181,2022-02-19T05:56:21Z,51.35211,3.29259,14.488,1.908423,0,0,No Data,No Data
1645250181,2022-02-19T05:56:21Z,51.35205,3.29247,14.363,1.919111,0,0,No Data,No Data
1645250181,2022-02-19T05:56:21Z,51.35199,3.29236,14.099,1.929265,0,0,No Data,No Data
1645250181,2022-02-19T05:56:21Z,51.35199,3.29236,14.099,1.929265,0,0,No Data,No Data
1645250182,2022-02-19T05:56:22Z,51.35184,3.2921,13.524,1.953875,0,0,No Data,No Data
1645250182,2022-02-19T05:56:22Z,51.35184,3.2921,13.524,1.953875,0,0,No Data,No Data
1645250182,2022-02-19T05:56:22Z,51.35177,3.29199,13.296,1.964794,0,0,No Data,No Data
1645250182,2022-02-19T05:56:22Z,51.35177,3.29199,13.296,1.964794,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.35169,3.29184,13.062,1.978509,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.35165,3.29178,12.917,1.984611,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.35165,3.29178,12.917,1.984611,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.35165,3.29178,12.917,1.984611,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.3516,3.29171,12.676,1.992005,0,0,No Data,No Data
1645250183,2022-02-19T05:56:23Z,51.35154,3.29163,12.361,2.000697,0,0,No Data,No Data
1645250184,2022-02-19T05:56:24Z,51.35141,3.29141,11.65,2.021755,0,0,No Data,No Data
1645250184,2022-02-19T05:56:24Z,51.35141,3.29141,11.65,2.021755,0,0,No Data,No Data
1645250186,2022-02-19T05:56:26Z,51.35126,3.29116,11.033,2.04586,0,0,No Data,No Data
1645250186,2022-02-19T05:56:26Z,51.35126,3.29116,11.033,2.04586,0,0,No Data,No Data
