UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,31.336979,121.218895,3.928,0,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,31.336914,121.218607,3.426,0.0282979,0,0,No Data,No Data
1179727225,2007-05-21T06:00:25Z,31.336817,121.218174,2.809,0.0708419,0,0,No Data,No Data
1179727238,2007-05-21T06:00:38Z,31.336719,121.217814,2.378,0.1066729,0,0,No Data,No Data
1179727245,2007-05-21T06:00:45Z,31.336672,121.217636,2.164,0.1243179,0,0,No Data,No Data
1179727254,2007-05-21T06:00:54Z,31.336638,121.217353,2.243,0.1514172,0,0,No Data,No Data
1179727266,2007-05-21T06:01:06Z,31.336667,121.217017,2.579,0.1835089,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,31.336758,121.216740,2.811,0.2117348,0,0,No Data,No Data
1179727287,2007-05-21T06:01:27Z,31.336915,121.216490,2.827,0.2412685,0,0,No Data,No Data
1179727298,2007-05-21T06:01:38Z,31.337139,121.216317,2.908,0.2711724,0,0,No Data,No Data
1179727306,2007-05-21T06:01:46Z,31.337342,121.216221,3.055,0.2955886,0,0,No Data,No Data
1179727314,2007-05-21T06:01:54Z,31.337547,121.216207,3.184,0.318453,0,0,No Data,No Data
1179727320,2007-05-21T06:02:00Z,31.337679,121.216268,3.283,0.3343027,0,0,No Data,No Data
1179727326,2007-05-21T06:02:06Z,31.337814,121.216294,3.478,0.34957,0,0,No Data,No Data
1179727331,2007-05-21T06:02:11Z,31.337907,121.216414,3.435,0.3649877,0,0,No Data,No Data
1179727338,2007-05-21T06:02:18Z,31.338001,121.216583,3.344,0.384251,0,0,No Data,No Data
1179727345,2007-05-21T06:02:25Z,31.338062,121.216773,3.178,0.4036151,0,0,No Data,No Data
1179727351,2007-05-21T06:02:31Z,31.338041,121.216947,2.863,0.4203272,0,0,No Data,No Data
1179727356,2007-05-21T06:02:36Z,31.337983,121.217066,2.604,0.4333314,0,0,No Data,No Data
1179727360,2007-05-21T06:02:40Z,31.337891,121.217116,2.432,0.4446164,0,0,No Data,No Data
1179727363,2007-05-21T06:02:43Z,31.337816,121.217132,2.335,0.453026,0,0,No Data,No Data
1179727367,2007-05-21T06:02:47Z,31.337709,121.217142,2.215,0.4649751,0,0,No Data,No Data
1179727373,2007-05-21T06:02:53Z,31.337569,121.217127,2.075,0.4805323,0,0,No Data,No Data
1179727379,2007-05-21T06:02:59Z,31.337427,121.217131,2.038,0.4962509,0,0,No Data,No Data
1179727386,2007-05-21T06:03:06Z,31.337241,121.217177,2.12,0.5173751,0,0,No Data,No Data
1179727392,2007-05-21T06:03:12Z,31.337132,121.217303,2.104,0.5344421,0,0,No Data,No Data
1179727398,2007-05-21T06:03:18Z,31.337147,121.217456,2.022,0.5491396,0,0,No Data,No Data
1179727403,2007-05-21T06:03:23Z,31.337173,121.217614,2.137,0.5644969,0,0,No Data,No Data
1179727409,2007-05-21T06:03:29Z,31.337251,121.217767,2.322,0.5815419,0,0,No Data,No Data
1179727415,2007-05-21T06:03:35Z,31.337383,121.217818,2.382,0.5971295,0,0,No Data,No Data
1179727424,2007-05-21T06:03:44Z,31.337618,121.217842,2.469,0.6234503,0,0,No Data,No Data
1179727435,2007-05-21T06:03:55Z,31.337890,121.217815,2.556,0.6538467,0,0,No Data,No Data
1179727444,2007-05-21T06:04:04Z,31.338100,121.217721,2.457,0.6789104,0,0,No Data,No Data
1179727454,2007-05-21T06:04:14Z,31.338310,121.217587,2.207,0.7056071,0,0,No Data,No Data
1179727462,2007-05-21T06:04:22Z,31.338477,121.217474,2.396,0.7270674,0,0,No Data,No Data
1179727474,2007-05-21T06:04:34Z,31.338691,121.217212,3.254,0.7615778,0,0,No Data,No Data
1179727487,2007-05-21T06:04:47Z,31.338912,121.216942,3.798,0.7971457,0,0,No Data,No Data
1179727500,2007-05-21T06:05:00Z,31.339153,121.216695,3.999,0.8328246,0,0,No Data,No Data
1179727517,2007-05-21T06:05:17Z,31.339490,121.216369,4.218,0.8815335,0,0,No Data,No Data
1179727529,2007-05-21T06:05:29Z,31.339737,121.216153,4.194,0.9158834,0,0,No Data,No Data
1179727543,2007-05-21T06:05:43Z,31.339969,121.215861,4.036,0.9537892,0,0,No Data,No Data
1179727556,2007-05-21T06:05:56Z,31.340222,121.215655,4.213,0.9881466,0,0,No Data,No Data
1179727565,2007-05-21T06:06:05Z,31.340442,121.215550,4.339,1.014649,0,0,No Data,No Data
1179727579,2007-05-21T06:06:19Z,31.340771,121.215405,4.514,1.053852,0,0,No Data,No Data
1179727592,2007-05-21T06:06:32Z,31.341076,121.215253,4.493,1.090752,0,0,No Data,No Data
1179727607,2007-05-21T06:06:47Z,31.341426,121.215118,4.247,1.131849,0,0,No Data,No Data
1179727621,2007-05-21T06:07:01Z,31.341748,121.214981,4.078,1.169985,0,0,No Data,No Data
1179727630,2007-05-21T06:07:10Z,31.341947,121.214874,4.237,1.194432,0,0,No Data,No Data
1179727638,2007-05-21T06:07:18Z,31.342144,121.214979,4.562,1.218543,0,0,No Data,No Data
1179727642,2007-05-21T06:07:22Z,31.342157,121.215076,4.589,1.227909,0,0,No Data,No Data
1179727651,2007-05-21T06:07:31Z,31.342103,121.215325,4.524,1.252351,0,0,No Data,No Data
1179727659,2007-05-21T06:07:39Z,31.342014,121.215544,4.418,1.275454,0,0,No Data,No Data
1179727667,2007-05-21T06:07:47Z,31.341934,121.215741,4.321,1.296231,0,0,No Data,No Data
1179727677,2007-05-21T06:07:57Z,31.341748,121.215964,3.924,1.325917,0,0,No Data,No Data
1179727690,2007-05-21T06:08:10Z,31.341492,121.216190,3.571,1.361586,0,0,No Data,No Data
1179727703,2007-05-21T06:08:23Z,31.341215,121.216363,3.364,1.396549,0,0,No Data,No Data
1179727711,2007-05-21T06:08:31Z,31.341008,121.216444,3.267,1.420753,0,0,No Data,No Data
1179727725,2007-05-21T06:08:45Z,31.340700,121.216606,3.219,1.458291,0,0,No Data,No Data
1179727736,2007-05-21T06:08:56Z,31.340456,121.216780,3.39,1.490039,0,0,No Data,No Data
1179727744,2007-05-21T06:09:04Z,31.340288,121.216901,3.469,1.51196,0,0,No Data,No Data
1179727753,2007-05-21T06:09:13Z,31.340108,121.217038,3.481,1.535817,0,0,No Data,No Data
1179727764,2007-05-21T06:09:24Z,31.339899,121.217276,3.357,1.568212,0,0,No Data,No Data
1179727775,2007-05-21T06:09:35Z,31.339722,121.217515,3.346,1.598333,0,0,No Data,No Data
1179727785,2007-05-21T06:09:45Z,31.339624,121.217786,3.64,1.626334,0,0,No Data,No Data
1179727796,2007-05-21T06:09:56Z,31.339541,121.218080,3.863,1.655743,0,0,No Data,No Data
1179727809,2007-05-21T06:10:09Z,31.339552,121.218476,3.656,1.693483,0,0,No Data,No Data
1179727820,2007-05-21T06:10:20Z,31.339645,121.218757,2.981,1.722245,0,0,No Data,No Data
1179727831,2007-05-21T06:10:31Z,31.339799,121.219031,2.324,1.753501,0,0,No Data,No Data
1179727840,2007-05-21T06:10:40Z,31.339962,121.219230,2.223,1.779798,0,0,No Data,No Data
1179727852,2007-05-21T06:10:52Z,31.340175,121.219443,3.559,1.811066,0,0,No Data,No Data
1179727862,2007-05-21T06:11:02Z,31.340422,121.219555,4.684,1.840624,0,0,No Data,No Data
1179727875,2007-05-21T06:11:15Z,31.340715,121.219629,5.763,1.874004,0,0,No Data,No Data
1179727885,2007-05-21T06:11:25Z,31.340899,121.219850,6.447,1.903412,0,0,No Data,No Data
1179727893,2007-05-21T06:11:33Z,31.341041,121.220010,6.219,1.925436,0,0,No Data,No Data
1179727905,2007-05-21T06:11:45Z,31.341174,121.220315,4.947,1.958044,0,0,No Data,No Data
1179727915,2007-05-21T06:11:55Z,31.341220,121.220611,4.086,1.986725,0,0,No Data,No Data
1179727924,2007-05-21T06:12:04Z,31.341169,121.220878,3.574,2.012802,0,0,No Data,No Data
1179727932,2007-05-21T06:12:12Z,31.341062,121.221056,3.651,2.033477,0,0,No Data,No Data
1179727942,2007-05-21T06:12:22Z,31.340914,121.221299,3.849,2.061848,0,0,No Data,No Data
1179727952,2007-05-21T06:12:32Z,31.340691,121.221449,4.126,2.090446,0,0,No Data,No Data
1179727963,2007-05-21T06:12:43Z,31.340435,121.221510,4.388,2.119464,0,0,No Data,No Data
1179727970,2007-05-21T06:12:50Z,31.340263,121.221586,4.619,2.139942,0,0,No Data,No Data
1179727976,2007-05-21T06:12:56Z,31.340146,121.221692,4.85,2.156424,0,0,No Data,No Data
1179727984,2007-05-21T06:13:04Z,31.340140,121.221929,5.094,2.17901,0,0,No Data,No Data
1179727992,2007-05-21T06:13:12Z,31.340196,121.222146,5.204,2.200656,0,0,No Data,No Data
