UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,50.443091,5.965979,412.732,0,0,0,No Data,No Data
1179727204,2007-05-21T06:00:04Z,50.443182,5.965901,413.382,0.011552,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,50.443286,5.965814,414.089,0.0247328,0,0,No Data,No Data
1179727214,2007-05-21T06:00:14Z,50.443390,5.965714,414.878,0.0383625,0,0,No Data,No Data
1179727220,2007-05-21T06:00:20Z,50.443525,5.965594,415.617,0.0556911,0,0,No Data,No Data
1179727224,2007-05-21T06:00:24Z,50.443623,5.965503,416.035,0.0683752,0,0,No Data,No Data
1179727231,2007-05-21T06:00:31Z,50.443757,5.965379,416.39,0.0857686,0,0,No Data,No Data
1179727238,2007-05-21T06:00:38Z,50.443920,5.965232,416.491,0.1066854,0,0,No Data,No Data
1179727246,2007-05-21T06:00:46Z,50.444090,5.965074,416.236,0.1287058,0,0,No Data,No Data
1179727255,2007-05-21T06:00:55Z,50.444283,5.964890,416.992,0.153895,0,0,No Data,No Data
1179727264,2007-05-21T06:01:04Z,50.444464,5.964728,418.261,0.1771238,0,0,No Data,No Data
1179727270,2007-05-21T06:01:10Z,50.444610,5.964604,419.037,0.1956403,0,0,No Data,No Data
1179727276,2007-05-21T06:01:16Z,50.444742,5.964484,419.666,0.2126651,0,0,No Data,No Data
1179727284,2007-05-21T06:01:24Z,50.444905,5.964362,420.086,0.232822,0,0,No Data,No Data
1179727291,2007-05-21T06:01:31Z,50.445068,5.964206,420.608,0.2541342,0,0,No Data,No Data
1179727297,2007-05-21T06:01:37Z,50.445200,5.964108,421.361,0.2703983,0,0,No Data,No Data
1179727305,2007-05-21T06:01:45Z,50.445367,5.963949,423.039,0.2921965,0,0,No Data,No Data
1179727311,2007-05-21T06:01:51Z,50.445503,5.963824,424.134,0.3098016,0,0,No Data,No Data
1179727317,2007-05-21T06:01:57Z,50.445622,5.963709,424.997,0.3254352,0,0,No Data,No Data
1179727325,2007-05-21T06:02:05Z,50.445781,5.963555,425.9,0.3462861,0,0,No Data,No Data
1179727331,2007-05-21T06:02:11Z,50.445929,5.963441,426.707,0.3646669,0,0,No Data,No Data
1179727337,2007-05-21T06:02:17Z,50.446080,5.963443,426.495,0.3815495,0,0,No Data,No Data
1179727340,2007-05-21T06:02:20Z,50.446145,5.963524,425.791,0.390844,0,0,No Data,No Data
1179727345,2007-05-21T06:02:25Z,50.446195,5.963693,424.553,0.4041191,0,0,No Data,No Data
1179727352,2007-05-21T06:02:32Z,50.446173,5.963933,422.755,0.4213709,0,0,No Data,No Data
1179727358,2007-05-21T06:02:38Z,50.446112,5.964178,420.663,0.440006,0,0,No Data,No Data
1179727365,2007-05-21T06:02:45Z,50.446048,5.964421,419.917,0.4586557,0,0,No Data,No Data
1179727376,2007-05-21T06:02:56Z,50.445931,5.964798,418.344,0.4883755,0,0,No Data,No Data
1179727381,2007-05-21T06:03:01Z,50.445868,5.964990,417.361,0.5036777,0,0,No Data,No Data
1179727387,2007-05-21T06:03:07Z,50.445795,5.965196,417.374,0.5204006,0,0,No Data,No Data
1179727393,2007-05-21T06:03:13Z,50.445730,5.965391,417.528,0.5359926,0,0,No Data,No Data
1179727398,2007-05-21T06:03:18Z,50.445670,5.965594,417.534,0.5518833,0,0,No Data,No Data
1179727406,2007-05-21T06:03:26Z,50.445563,5.965854,417.184,0.5738145,0,0,No Data,No Data
1179727414,2007-05-21T06:03:34Z,50.445451,5.966110,417.421,0.5958083,0,0,No Data,No Data
1179727421,2007-05-21T06:03:41Z,50.445358,5.966319,416.839,0.6139178,0,0,No Data,No Data
1179727430,2007-05-21T06:03:50Z,50.445223,5.966599,414.808,0.6388302,0,0,No Data,No Data
1179727435,2007-05-21T06:03:55Z,50.445145,5.966771,413.37,0.6537908,0,0,No Data,No Data
1179727441,2007-05-21T06:04:01Z,50.445055,5.966955,411.433,0.6702254,0,0,No Data,No Data
1179727446,2007-05-21T06:04:06Z,50.444965,5.967099,409.81,0.6845152,0,0,No Data,No Data
1179727451,2007-05-21T06:04:11Z,50.444895,5.967257,409.249,0.6981694,0,0,No Data,No Data
1179727455,2007-05-21T06:04:15Z,50.444838,5.967345,408.703,0.707033,0,0,No Data,No Data
1179727461,2007-05-21T06:04:21Z,50.444711,5.967536,407.385,0.726644,0,0,No Data,No Data
1179727467,2007-05-21T06:04:27Z,50.444596,5.967685,406.708,0.7432367,0,0,No Data,No Data
1179727473,2007-05-21T06:04:33Z,50.444487,5.967835,405.76,0.7593661,0,0,No Data,No Data
1179727479,2007-05-21T06:04:39Z,50.444393,5.967986,404.712,0.7743074,0,0,No Data,No Data
1179727485,2007-05-21T06:04:45Z,50.444266,5.968142,402.842,0.7922109,0,0,No Data,No Data
1179727490,2007-05-21T06:04:50Z,50.444186,5.968275,401.418,0.805158,0,0,No Data,No Data
1179727494,2007-05-21T06:04:54Z,50.444098,5.968374,400.699,0.8171486,0,0,No Data,No Data
1179727500,2007-05-21T06:05:00Z,50.443986,5.968517,400.036,0.8331678,0,0,No Data,No Data
1179727506,2007-05-21T06:05:06Z,50.443873,5.968656,399.283,0.8491512,0,0,No Data,No Data
1179727510,2007-05-21T06:05:10Z,50.443799,5.968808,398.605,0.8627091,0,0,No Data,No Data
1179727515,2007-05-21T06:05:15Z,50.443692,5.968909,397.815,0.8765786,0,0,No Data,No Data
