UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,51.205254,3.217229,8.856,0,0,0,No Data,No Data
1179727200,2007-05-21T06:00:00Z,51.205265,3.217226,8.87,0.0012502,0,0,No Data,No Data
1179727201,2007-05-21T06:00:01Z,51.205275,3.217224,8.883,0.0024297,0,0,No Data,No Data
1179727201,2007-05-21T06:00:01Z,51.205285,3.217220,8.9,0.0036617,0,0,No Data,No Data
1179727202,2007-05-21T06:00:02Z,51.205298,3.217215,8.92,0.0052177,0,0,No Data,No Data
1179727202,2007-05-21T06:00:02Z,51.205307,3.217212,8.931,0.0063139,0,0,No Data,No Data
1179727203,2007-05-21T06:00:03Z,51.205316,3.217210,8.942,0.0074142,0,0,No Data,No Data
1179727203,2007-05-21T06:00:03Z,51.205328,3.217208,8.956,0.008824,0,0,No Data,No Data
1179727204,2007-05-21T06:00:04Z,51.205338,3.217201,8.977,0.0100921,0,0,No Data,No Data
1179727204,2007-05-21T06:00:04Z,51.205350,3.217197,8.995,0.0114858,0,0,No Data,No Data
1179727204,2007-05-21T06:00:04Z,51.205361,3.217192,9.012,0.0128434,0,0,No Data,No Data
1179727205,2007-05-21T06:00:05Z,51.205374,3.217189,9.028,0.0144052,0,0,No Data,No Data
1179727205,2007-05-21T06:00:05Z,51.205387,3.217186,9.043,0.0159728,0,0,No Data,No Data
1179727206,2007-05-21T06:00:06Z,51.205399,3.217181,9.06,0.0174049,0,0,No Data,No Data
1179727206,2007-05-21T06:00:06Z,51.205404,3.217176,9.074,0.018135,0,0,No Data,No Data
1179727207,2007-05-21T06:00:07Z,51.205413,3.217178,9.076,0.0191849,0,0,No Data,No Data
1179727207,2007-05-21T06:00:07Z,51.205426,3.217174,9.094,0.0206997,0,0,No Data,No Data
1179727208,2007-05-21T06:00:08Z,51.205430,3.217172,9.099,0.0211844,0,0,No Data,No Data
1179727208,2007-05-21T06:00:08Z,51.205435,3.217170,9.107,0.0218149,0,0,No Data,No Data
1179727208,2007-05-21T06:00:08Z,51.205439,3.217167,9.115,0.0223931,0,0,No Data,No Data
1179727208,2007-05-21T06:00:08Z,51.205445,3.217165,9.124,0.0231535,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,51.205452,3.217165,9.128,0.0240246,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,51.205460,3.217161,9.141,0.0250215,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,51.205467,3.217158,9.151,0.0258556,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,51.205477,3.217157,9.159,0.0269722,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,51.205481,3.217155,9.165,0.0274378,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,51.205490,3.217150,9.18,0.0285132,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,51.205497,3.217148,9.189,0.0293084,0,0,No Data,No Data
1179727210,2007-05-21T06:00:10Z,51.205502,3.217146,9.195,0.0299389,0,0,No Data,No Data
1179727211,2007-05-21T06:00:11Z,51.205508,3.217145,9.201,0.0306374,0,0,No Data,No Data
1179727211,2007-05-21T06:00:11Z,51.205515,3.217142,9.211,0.0315189,0,0,No Data,No Data
1179727212,2007-05-21T06:00:12Z,51.205525,3.217138,9.224,0.0327023,0,0,No Data,No Data
1179727212,2007-05-21T06:00:12Z,51.205531,3.217136,9.233,0.0334447,0,0,No Data,No Data
1179727212,2007-05-21T06:00:12Z,51.205536,3.217135,9.238,0.034068,0,0,No Data,No Data
1179727212,2007-05-21T06:00:12Z,51.205542,3.217132,9.245,0.0347729,0,0,No Data,No Data
1179727213,2007-05-21T06:00:13Z,51.205549,3.217129,9.254,0.0355794,0,0,No Data,No Data
1179727213,2007-05-21T06:00:13Z,51.205556,3.217130,9.259,0.0364296,0,0,No Data,No Data
1179727213,2007-05-21T06:00:13Z,51.205564,3.217126,9.271,0.0373705,0,0,No Data,No Data
1179727214,2007-05-21T06:00:14Z,51.205575,3.217122,9.284,0.0386876,0,0,No Data,No Data
1179727214,2007-05-21T06:00:14Z,51.205582,3.217119,9.293,0.0395691,0,0,No Data,No Data
1179727214,2007-05-21T06:00:14Z,51.205592,3.217115,9.306,0.0407937,0,0,No Data,No Data
1179727215,2007-05-21T06:00:15Z,51.205602,3.217112,9.317,0.042033,0,0,No Data,No Data
1179727215,2007-05-21T06:00:15Z,51.205611,3.217108,9.328,0.0431333,0,0,No Data,No Data
1179727215,2007-05-21T06:00:15Z,51.205618,3.217108,9.333,0.0439728,0,0,No Data,No Data
1179727216,2007-05-21T06:00:16Z,51.205622,3.217106,9.339,0.0445105,0,0,No Data,No Data
1179727216,2007-05-21T06:00:16Z,51.205624,3.217105,9.341,0.044762,0,0,No Data,No Data
1179727216,2007-05-21T06:00:16Z,51.205631,3.217101,9.352,0.0456331,0,0,No Data,No Data
1179727217,2007-05-21T06:00:17Z,51.205640,3.217097,9.363,0.0466915,0,0,No Data,No Data
1179727217,2007-05-21T06:00:17Z,51.205642,3.217096,9.366,0.0469767,0,0,No Data,No Data
1179727217,2007-05-21T06:00:17Z,51.205649,3.217093,9.375,0.0478053,0,0,No Data,No Data
1179727217,2007-05-21T06:00:17Z,51.205651,3.217092,9.378,0.048148,0,0,No Data,No Data
1179727218,2007-05-21T06:00:18Z,51.205659,3.217089,9.387,0.0490985,0,0,No Data,No Data
1179727218,2007-05-21T06:00:18Z,51.205663,3.217087,9.392,0.0495543,0,0,No Data,No Data
1179727218,2007-05-21T06:00:18Z,51.205672,3.217083,9.403,0.0506546,0,0,No Data,No Data
1179727218,2007-05-21T06:00:18Z,51.205677,3.217081,9.408,0.0512405,0,0,No Data,No Data
1179727219,2007-05-21T06:00:19Z,51.205696,3.217077,9.426,0.0533786,0,0,No Data,No Data
1179727219,2007-05-21T06:00:19Z,51.205705,3.217077,9.431,0.0544023,0,0,No Data,No Data
1179727219,2007-05-21T06:00:19Z,51.205707,3.217076,9.434,0.0546875,0,0,No Data,No Data
1179727220,2007-05-21T06:00:20Z,51.205714,3.217075,9.439,0.0555377,0,0,No Data,No Data
1179727220,2007-05-21T06:00:20Z,51.205716,3.217074,9.442,0.055867,0,0,No Data,No Data
1179727220,2007-05-21T06:00:20Z,51.205723,3.217072,9.449,0.0566508,0,0,No Data,No Data
1179727221,2007-05-21T06:00:21Z,51.205731,3.217068,9.459,0.0576477,0,0,No Data,No Data
1179727221,2007-05-21T06:00:21Z,51.205750,3.217062,9.478,0.0598256,0,0,No Data,No Data
1179727222,2007-05-21T06:00:22Z,51.205775,3.217054,9.502,0.0627086,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,51.205783,3.217050,9.511,0.0636964,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,51.205786,3.217049,9.515,0.0641422,0,0,No Data,No Data
1179727223,2007-05-21T06:00:23Z,51.205799,3.217045,9.527,0.0656511,0,0,No Data,No Data
1179727224,2007-05-21T06:00:24Z,51.205806,3.217042,9.534,0.0665326,0,0,No Data,No Data
1179727224,2007-05-21T06:00:24Z,51.205814,3.217040,9.541,0.0674831,0,0,No Data,No Data
1179727224,2007-05-21T06:00:24Z,51.205820,3.217038,9.547,0.0681816,0,0,No Data,No Data
1179727225,2007-05-21T06:00:25Z,51.205830,3.217034,9.558,0.0694354,0,0,No Data,No Data
1179727225,2007-05-21T06:00:25Z,51.205840,3.217030,9.558,0.0706226,0,0,No Data,No Data
1179727226,2007-05-21T06:00:26Z,51.205846,3.217031,9.554,0.0713211,0,0,No Data,No Data
1179727226,2007-05-21T06:00:26Z,51.205850,3.217030,9.551,0.0718671,0,0,No Data,No Data
1179727226,2007-05-21T06:00:26Z,51.205857,3.217029,9.548,0.0727382,0,0,No Data,No Data
